2026-07-29 18:52:33.276 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:52:37.812 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:52:39.272 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:52:43.817 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:52:45.283 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:52:49.822 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:52:51.299 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:52:55.852 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:52:57.289 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:53:01.881 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:53:03.295 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:53:07.858 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:53:09.294 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:53:13.874 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:53:15.308 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:53:19.868 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:53:21.305 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:53:25.868 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:53:27.310 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:53:31.866 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:53:33.368 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:53:37.869 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:53:39.373 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:53:43.875 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:53:45.381 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:53:49.881 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:53:51.430 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:53:55.882 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:53:57.399 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:54:01.884 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
2026-07-29 18:54:03.398 | INFO | FUTU_US | [FUTU_US] 账户: 总资产=$9,999,994.21 现金=$9,996,058.01 证券市值=$3,936.20 冻结=$0.00 购买力=$19,996,052.22 (USD)
2026-07-29 18:54:07.881 | INFO | FUTU_HK | [FUTU_HK] 账户: 总资产=$823,936.69 现金=$635,296.69 证券市值=$188,640.00 冻结=$0.00 购买力=$635,296.69 (HKD)
